run_id,scenario,solver,n_proposals,run_iter,seed,start_time,end_time,runtime
8667072a-4c43-4205-83de-d24d3b71c320,NLIN+CONV,WS,1,2,183,2023-04-01 14:59:40.007380,2023-04-01 14:59:41.538745,1.531365
53079f25-261e-4485-8be4-fd7219ea905c,NLIN+CONV,WS,1,3,172,2023-04-01 14:59:41.543453,2023-04-01 14:59:43.040950,1.497497
7e590523-cc05-41a7-a510-169d7e8ab311,NLIN+CONV,WS,1,4,253,2023-04-01 14:59:43.045729,2023-04-01 14:59:44.582587,1.536858
a54bb568-bbc0-4bf6-875c-3451375fc04f,NLIN+CONV,WS,1,5,33,2023-04-01 14:59:44.587403,2023-04-01 14:59:46.128520,1.541117
f3edbdb4-2bbd-4ddb-b267-579ed8c62d1e,NLIN+CONV,WS,1,6,254,2023-04-01 14:59:46.133301,2023-04-01 14:59:47.639884,1.506583
1fd81ebe-2e5d-4984-aa12-377b4540a775,NLIN+CONV,WS,1,7,20,2023-04-01 14:59:47.644745,2023-04-01 14:59:49.194959,1.550214
8e1a44ad-84db-4903-aaef-1c14eadebe17,NLIN+CONV,WS,1,8,119,2023-04-01 14:59:49.199755,2023-04-01 14:59:50.737765,1.53801
826ab9b2-d962-4350-a9e0-b9270042ae35,NLIN+CONV,WS,1,9,5,2023-04-01 14:59:50.742538,2023-04-01 14:59:52.247961,1.505423
88b094d3-7c3a-4340-a589-a2e4b967eea4,NLIN+CONV,WS,1,10,37,2023-04-01 14:59:52.252802,2023-04-01 14:59:53.786133,1.533331
9acffdf8-8549-44ba-bb8f-d1b756c30e2b,NLIN+CONV,WS,10,1,113,2023-04-01 14:59:54.003689,2023-04-01 15:00:09.402439,15.39875
4d87fbda-d434-421b-93f4-bd1d4495544e,NLIN+CONV,WS,10,2,183,2023-04-01 15:00:09.449509,2023-04-01 15:00:24.849264,15.399755
f9a70adf-e08b-427d-a8c4-33d1df744d66,NLIN+CONV,WS,10,3,172,2023-04-01 15:00:24.897607,2023-04-01 15:00:40.349881,15.452274
773094d4-2039-4f24-aabd-09ec14fc78ea,NLIN+CONV,WS,10,4,253,2023-04-01 15:00:40.397281,2023-04-01 15:00:56.555456,16.158175
e2e2f609-5e6d-4ab0-a41c-62a84e9d704e,NLIN+CONV,WS,10,5,33,2023-04-01 15:00:56.605654,2023-04-01 15:01:12.823029,16.217375
2b25f8a8-8212-47df-a916-ca855ceb871e,NLIN+CONV,WS,10,6,254,2023-04-01 15:01:12.872548,2023-04-01 15:01:28.826068,15.95352
